col,default_val,transfo
AREA,0,LOG
ASPECT_RATIO,0,LOG
AVG_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
AVG_MINIMUM_BUILDING_SPACING,100,INV_XY
AVG_NUMBER_BUILDING_NEIGHBOR,0,LOG
AVG_VOLUME,0,LOG
BLOCK_AREA,0,LOG
BLOCK_AVG_AREA,0,LOG
BLOCK_AVG_AVG_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_AVG_BUILDING_DIRECTION_EQUALITY,0,LOG
BLOCK_AVG_BUILDING_DIRECTION_UNIQUENESS,0,LOG
BLOCK_AVG_CLOSINGNESS,0,INV
BLOCK_AVG_FLOOR_AREA,0,LOG
BLOCK_AVG_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_AVG_HOLE_AREA_DENSITY,0,INV
BLOCK_AVG_NET_COMPACTNESS,0,LOG
BLOCK_AVG_STD_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_AVG_VOLUME,0,LOG
BLOCK_BUILDING_DIRECTION_EQUALITY,0,LOG
BLOCK_BUILDING_DIRECTION_UNIQUENESS,0,LOG
BLOCK_CLOSINGNESS,0,LOG
BLOCK_FLOOR_AREA,0,LOG
BLOCK_HOLE_AREA_DENSITY,0,LOG
BLOCK_NET_COMPACTNESS,0,LOG
BLOCK_STD_AREA,0,LOG
BLOCK_STD_AVG_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_STD_BUILDING_DIRECTION_EQUALITY,0,LOG
BLOCK_STD_BUILDING_DIRECTION_UNIQUENESS,0,LOG
BLOCK_STD_CLOSINGNESS,0,LOG
BLOCK_STD_FLOOR_AREA,0,LOG
BLOCK_STD_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_STD_HOLE_AREA_DENSITY,0,LOG
BLOCK_STD_NET_COMPACTNESS,0,LOG
BLOCK_STD_STD_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
BLOCK_STD_VOLUME,0,LOG
BLOCK_VOLUME,0,LOG
BUILD_AREA,0,LOG
BUILD_AREA_CONCAVITY,0,LOG
BUILD_AVG_AREA,0,LOG
BUILD_AVG_AREA_CONCAVITY,0,INV_XY
BUILD_AVG_COMMON_WALL_FRACTION,0,LOG
BUILD_AVG_CONTIGUITY,0,LOG
BUILD_AVG_FLOOR_AREA,0,LOG
BUILD_AVG_FORM_FACTOR,0,LOG
BUILD_AVG_HEIGHT_ROOF,0,LOG
BUILD_AVG_HEIGHT_WALL,0,LOG
BUILD_AVG_LIKELIHOOD_LARGE_BUILDING,0,INV
BUILD_AVG_MINIMUM_BUILDING_SPACING,100,LOG
BUILD_AVG_NUMBER_BUILDING_NEIGHBOR,0,LOG
BUILD_AVG_PERIMETER,0,LOG
BUILD_AVG_PERIMETER_CONVEXITY,0,INV_XY
